question,answer
SUSTEN for マネーフォワードを始めるための手続きを教えてください。,スマートフォンからのお手続きによりお申込みが完了します。 ※マネーフォワードMEにログイン後、ホーム画面よりSUSTEN for マネーフォワードの口座開設にお進みください。 １．SUSTENのアカウント作成 ２．本人確認書類のアップロードおよびご登録情報の入力 ※ご利用いただける本人確認書類の組み合わせ ※組み合わせで、スマートフォンでマイナンバーカードを読み取っていただく場合は、その場で口座開設が完了いたします。その他の場合は、以下のお手続きが必要です。 ３．登録ご住所での簡易書留ハガキのお受取り ※ご本人さま確認のためのハガキは、ご登録住所へ簡易書留・転送不要郵便にてお送りします。ハガキの転送はできません。あらかじめご了承ください ４．ハガキのご案内に従ってログイン ご入金（積立による引落も含みます）いただくと、自動で運用開始します。 ※初回入金は積立から開始いただけます。 ※SUSTENまたは税務署での審査にお時間をいただく場合がございます。 NISAの口座開設をご希望で、他社でNISA口座を開設している場合は、以下のお手続きが必要です。 １．現在開設しているNISA口座を閉鎖、もしくは勘定廃止の手続き ２．SUSTEN for マネーフォワード でNISA口座の開設をお申し込み ３．現在、NISA口座を開設している金融機関から交付される「口座廃止通知書」、もしくは「勘定廃止通知書」をSUSTENまで郵送 ※他の金融機関で当年の非課税投資枠を既にご利用済の場合、当年中に当社にてNISAの口座開設はできません。翌年から当社でNISA口座開設をご希望される場合は、上記お手続きを10月1日以降に行っていただきますようお願いいたします。 ４．SUSTENで書類を受領後、ご本人さま確認、税務署の審査 （税務署審査には通常１-2週間程度のお時間をいただいております。） ※既にお手元に他金融機関から交付された「口座廃止通知書」、もしくは「勘定廃止通知書」がある場合は、「２．SUSTEN for マネーフォワードでNISA口座の開設をお申込み」からお手続きください。
SUSTENで資産運用を始めるための手続きを教えてください。,スマートフォン・PCからのお手続きによりお申込みが完了します。 ※SUSTEN for マネーフォワードの口座開設をされる方は、マネーフォワードMEにログイン後、ホーム画面より口座開設にお進みください。 １．運用診断にておすすめのリスクレベルをご提案 ２．会員登録および口座開設のお申込み（すべてWebで完結します。） ３．登録ご住所での簡易書留ハガキのお受取り ４．ハガキのご案内に従ってログイン ５．ご入金（積立による引落も含みます）いただくと、自動で運用開始 ※初回入金は積立から開始いただけます。※マイナンバーカードを読み取り口座開設をお申込みいただいた場合、その場で口座開設が完了いたします。３・４のお手続きは不要です。簡易書留ハガキの発送はございません。 ※ご本人さま確認のためのハガキは、ご登録住所へ簡易書留・転送不要郵便にてお送りします。ハガキの転送はできません。あらかじめご了承ください。
リスクレベルを変更していないのに、運用状況が現在のリスクレベルと異なる表示になっているのはなぜですか？,お客さまの口座で成果報酬の徴収（該当する場合のみ）、リバランス取引（当社設定投資信託の組み入れ比率の変更）、節枠取引（NISA口座）、自動非課税成機能に係る取引、税効果最適化などが行われていることによるものです。 取引が行われている間は、保有投資信託の一部売却により一時的に純資産残高や運用状況の表示がお客さまのリスクレベルと異なる場合がございます。売却後、買付発注を行い投資信託の組み入れ比率がお客さまのリスクレベルに沿うよう調整いたします。調整完了後、正しい運用状況が表示されます。 それぞれの機能についてくわしくは 当社ホームページ をご確認ください。
リスクレベルを変更後、運用状況に変更したリスクレベルや純資産残高が反映されないのはなぜですか？,リスクレベルの変更に伴い投資信託の売却・買付の取引が行われているためです。 リスクレベルの変更に伴う取引が行われている期間は、運用状況の表示が一時的に実際の運用状況と異なって参りますが、変更後のリスクレベルに基づき保有投資信託のリバランスが完了した時点で正しい運用状況や純資産残高が表示されます。 ※なお、リスクレベルの変更タイミングによっては、変更完了までにお時間をいただく場合がございます。
運用診断ではすべての質問に答えなければならないでしょうか？,投資家保護の観点から、それぞれのお客さまに合ったリスクレベルをご提案するために必要な項目ですので、すべての項目にお答えいただきますようお願いいたします。
課税口座のポートフォリオに「米国株式アグレッシブ・ポートフォリオ （愛称：GeoMax）」を組み入れることはできますか？,SUSTENでNISA口座を開設されておらず、課税口座でのみ運用されている場合はGeoMaxをポートフォリオに組み入れることはできません。 なお、以下に該当するお客さまは課税口座でGeoMaxが購入される場合がございます。 ・当社にNISA口座をお持ちで、自動非課税成機能の設定を有効にしているお客さまが、当年のNISA口座の投資枠をすべて消費した状態でさらに追加で投資される場合 ・SUSTENのNISA口座を開設手続き中で、自動非課税成機能を有効にされているお客さま
すでにSUSTENを利用しています。NISA口座を追加で開設できますか？,他の金融機関でNISA口座を開設されていない場合、SUSTENでNISA口座を開設いただけます。 SUSTENのお客さまページ内・ NISA よりお申込みください。 他の金融機関でNISA口座を開設されている場合でも、金融機関変更や口座廃止をすることでSUSTENでNISA口座を開設いただけます。
利回りはどのくらいでるのですか？,SUSTENではお客さまのリスクに対する積極性やその他のニーズによりご提案するリスクレベルが異なるため、想定される期待リターンを一概にお答えすることはできません。 成果報酬型での運用、NISAを利用した運用のいずれの場合も、投資対象とする投資信託は主として価格変動のある有価証券等です。そのため、お客さまの投資元本は保証されているものではありません。
積立はどのように設定するのですか？,マイページ内・積立よりご設定いただけます。 ※積立設定のご利用にはインターネットバンキングのご利用が必要です。ご利用の金融機関が表示されない場合、積立設定をご利用いただくことができません。 １．SUSTENのお客様サイトへ ログイン ２．入出金＞＞積立＞＞積立設定の変更 へ進む ３．積立設定＞＞設定をはじめる へ進む ４．積立設定ページにて毎月の引落日、積立額を設定、次へ へ進む ５．設定内容の確認にて設定する をクリック、積立設定を確定させる ６．引落口座設定へ へ進む ７．ご利用の金融機関を選択、各金融機関の画面指示に従って積立設定をおこなう ８．画面上部に「積立を設定しました」というメッセージが表示、積立予定が表示される ※ボーナス月の追加積立設定は必須ではございません。 ※積立設定は引落日の8営業日前の前日まで変更いただけます。
NISA口座で1月から積立を始めたい場合、積立設定の変更はいつおこなうのですか？,NISA口座の利用は、受渡日をもって判断いたします。そのため、2025年1月7日が受渡日となる2024年12月20日以降の引落より2025年の取引として取り扱います。 2025年1月より、積立サービスのご利用を希望される場合は、受渡日が1月以降となるよう引落日をご設定いただきますようお願い申し上げます（NISA口座・課税口座共通）。 積立設定の変更は、土日祝日もおこなっていただけます。 2024年末の積立スケジュール 引落日 設定変更最終日 積立予定日 受渡日 12月1日 11月19日 12月9日 12月12日 12月5日 11月24日 12月12日 12月17日* 12月20日 12月9日 12月27日 1月7日 12月26日 12月15日 1月8日 1月14日 ※引落日が土日祝日となる場合、翌営業日の取り扱いとなります。 ※*2024年12月17日は年内の受渡最終日です。
リスクレベルを６や７に変更するとポートフォリオはどうなりますか？,【NISA口座】 お客さまのポートフォリオに「米国株式アグレッシブ・ポートフォリオ （愛称：GeoMax）」（以下GeoMax）が組み入れられます。GeoMaxはNISA口座・成長投資枠を利用して運用されます。積立設定で投資をいただいている場合も同様です。  ※SUSTENのサービスでは購入する投資信託や非課税枠の種別などを指定いただくことはできません。 【課税口座】 お客さまのポートフォリオに組み入れられる「グローバル資産分散ポートフォリオ（R）」の比率が高くなる可能性がございます。 「グローバル資産分散ポートフォリオ（R）」は2024年7月末までに約款変更を完了、リスクの上限を引き上げました。現在、「グローバル資産分散ポートフォリオ（R）」単体では従来より高いリスクを取った運用を行っています。 ※リスクレベル６・７はより大きな価格変動リスクをともないます。価格変動リスクを抑えた運用をご希望のお客さまにはおすすめいたしません。 リスクレベルをご変更される際は価格変動リスクが大きくなる旨をご理解の上ご検討いただけますと幸いです。 ※SUSTEN for マネーフォワードをご利用いただいているお客さまはリスクレベルの設定はございません。
入金後、すぐに出金できますか？,入金当日に出金手続きをおこなうことはできません。 入金の翌営業日以降に出金ページより出金手続きが可能になります（積立の引落によるご入金は、積立予定日の翌営業日より出金手続きが可能になります）。 アプリをご利用の場合は、「その他」よりお手続きください。 なお、運用開始前は「入出金履歴」に入金額が表示されます。 出金にあたりましては、出金ページの注意事項をあらかじめご確認ください。
会員登録や口座開設手続きは書面でおこなえますか？,会員登録や口座開設手続きは、すべて当社Webサイト上でおこなっていただく必要があり、書面によるお申込みは受け付けておりません。
「米国株式アグレッシブ・ポートフォリオ （愛称：GeoMax）」とはどのような投資信託ですか？,GeoMaxはリスクやリターンの目標を特定することなく、長期的なリターンの最大化のみを目指し運用を行う投資信託です。 株式に投資する一般的な投資信託よりも価格変動リスクが大きいことから、リスク許容度の高い一定の投資経験をお持ちのお客さま向けの投資信託になります。 GeoMaxが組み入れられるリスクレベル６・７（NISA口座での運用にかぎります）は、世界株式の市場平均よりも高いリスクを取り、積極的にリターンを追求したいお客さまのニーズにお応えするものです。価格変動リスクを抑えた運用をご希望のお客さまにはおすすめいたしません。
積立の引落後のスケジュールを教えてください。何日後に運用が開始されますか？,引落日から5営業日後が積立予定日です。積立金額は同日午前11時頃に入出金履歴へ、24時頃に純資産残高へ反映されます。 引落日から6営業日後に積立金額分の投資信託を買付発注、運用が開始されます。 （引落日から6営業日後が当社投資信託の購入申込受付不可日の場合は、翌々営業日に投資信託の買付発注が行われます。） 積立スケジュール ※積立設定の変更は8営業日前の前日までおこなっていただけます。土日祝日も変更操作をいただけます。24時以降の場合、次回積立時に反映されます。反映日時の詳細は、お客さま画面でご確認いただけます。 ※ご入金額は投資信託約定までの間は現金として純資産残高に加算されます。 ※6営業日後が投資信託申込不可日に当たる場合、その翌営業日に発注が行われるため、運用開始日が変動します。
いくらまで実質手数料無料になりますか,資産形成アドバンスコースにご登録いただいているお客さまは、運用額最大60万円にかかる手数料分(年率税込0.3%)を毎月、お客さまの口座に還元いたします。 ※NISA口座・課税口座は問いません。 ※SUSTEN for マネーフォワードをご利用いただいているお客さまが対象です。
リスクレベルを変更することはできますか？,変更いただけます。 SUSTENのお客さまサイト内、マイページ＞＞運用設定より変更可能です。 ※SUSTEN for マネーフォワードをご利用いただいているお客さまはリスクレベルの設定はございません。
自動非課税成機能を利用するにはどのような設定が必要ですか？,マイページ内・運用設定の変更よりご設定いただけます。 １．SUSTENのお客さまサイトへログイン ２．画面左上の「お客さまの氏名」をクリック、マイページへ進む ３．運用設定＞＞変更する へ進む ４．運用設定の変更＞＞マニュアル設定する へ進む ５．運用設定の変更＞＞自動非課税成機能の利用 へ進む ６．自動非課税成機能の利用を「ON」にご設定ください。  ※アプリをご利用の場合は、その他よりマイページへ進み、上記の手順で設定をご変更いただけます。 ※課税口座ですでに運用されている場合、当機能を「ON」に設定することにより、NISA口座の投資枠の範囲内で、課税口座での投資分は自動で売却され、NISA口座で新たに投資信託を買付けNISA口座を優先した運用が行われます。 ※「自動非課税成機能」のご利用にはNISA口座開設が必要です。
NISAの口座開設には、どのくらい時間がかかりますか？,NISA口座開設手続きおよび税務署の審査に、約2週間程度のお時間をいただいております。 税務署の審査終了後にNISA口座での投資が可能になります。 なお、NISA口座開設完了前の振込入金、積立による引落は課税口座で運用されます。
SUSTENのNISA口座を廃止するにはどのような手続きが必要ですか？,SUSTENのNISA口座を廃止される場合、事前に以下のお手続きをお願いしております。 １．積立設定の解除 （積立サービスをご利用されている場合） ２．全額出金の申込 ３．NISA口座解約希望の旨をsupport@susten.jpまでメールでご連絡ください。手続きに必要な書類をお送りいたします。 ※必ずご登録のメールアドレスよりご連絡をいただきますようお願いいたします。 ※課税口座で保有している投資信託も含め、全額出金のお手続きが必要です。 ※SUSTENのすべてのサービスについて解約を希望される場合は、その旨もあわせて記載ください。 NISA口座のみを廃止された後は、課税口座としてSUSTENをご利用いただけます。
